,StudyInstanceUID,Slice,ImageHeight,ImageWidth,SliceThickness,ImagePositionPatient_x,ImagePositionPatient_y,ImagePositionPatient_z,C1,C2,C3,C4,C5,C6,C7,pixels
0,1.2.826.0.1.3680043.10633,1,512,512,1.0,-68.0,98.0,314.099976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,1.2.826.0.1.3680043.10633,2,512,512,1.0,-68.0,98.0,313.599976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2,1.2.826.0.1.3680043.10633,3,512,512,1.0,-68.0,98.0,313.099976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3,1.2.826.0.1.3680043.10633,4,512,512,1.0,-68.0,98.0,312.599976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4,1.2.826.0.1.3680043.10633,5,512,512,1.0,-68.0,98.0,312.099976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5,1.2.826.0.1.3680043.10633,6,512,512,1.0,-68.0,98.0,311.599976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
6,1.2.826.0.1.3680043.10633,7,512,512,1.0,-68.0,98.0,311.099976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
7,1.2.826.0.1.3680043.10633,8,512,512,1.0,-68.0,98.0,310.599976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
8,1.2.826.0.1.3680043.10633,9,512,512,1.0,-68.0,98.0,310.099976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
9,1.2.826.0.1.3680043.10633,10,512,512,1.0,-68.0,98.0,309.599976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10,1.2.826.0.1.3680043.10633,11,512,512,1.0,-68.0,98.0,309.099976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
11,1.2.826.0.1.3680043.10633,12,512,512,1.0,-68.0,98.0,308.599976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
12,1.2.826.0.1.3680043.10633,13,512,512,1.0,-68.0,98.0,308.099976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
13,1.2.826.0.1.3680043.10633,14,512,512,1.0,-68.0,98.0,307.599976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
14,1.2.826.0.1.3680043.10633,15,512,512,1.0,-68.0,98.0,307.099976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
